timestamp,gx,gy,gz,B,raw,label
1774146150.102056,8.737867,-0.093333,2.265867,9.027358,"8.737867,-0.093333,2.265867,9.027358",touch
1774146150.126817,8.737867,-0.239467,2.259733,9.028513,"8.737867,-0.239467,2.259733,9.028513",touch
1774146150.1550798,8.737867,-0.233067,2.267467,9.030284,"8.737867,-0.233067,2.267467,9.030284",touch
1774146150.1797602,8.737867,-0.042133,2.278667,9.030195,"8.737867,-0.042133,2.278667,9.030195",touch
1774146150.204417,8.737867,-0.167467,2.2728,9.030171,"8.737867,-0.167467,2.272800,9.030171",touch
1774146150.229068,8.737867,-0.138933,2.277333,9.030829,"8.737867,-0.138933,2.277333,9.030829",touch
1774146150.253769,8.737867,-0.1136,2.266667,9.027791,"8.737867,-0.113600,2.266667,9.027791",touch
1774146150.2821,8.737867,-0.096,2.2608,9.026115,"8.737867,-0.096000,2.260800,9.026115",touch
1774146150.306753,8.737867,-0.157333,2.231467,9.019674,"8.737867,-0.157333,2.231467,9.019674",touch
1774146150.331419,8.737867,-0.137867,2.224533,9.017642,"8.737867,-0.137867,2.224533,9.017642",touch
1774146150.3561249,8.737867,-0.032533,2.2704,9.028073,"8.737867,-0.032533,2.270400,9.028073",touch
